cadastral,name,category,profile,district
10,2,5,6,7
58:05-6.512,"Светлополянские болота(Светлополянскоекв.68,69,72,76,78)",памятник природы,водный,Бессоновский
58:04-6.316,"Урочище ""Шугай"" (Свищевское лесничество кв 38)",памятник природы,ботанический,Белинский
58:04-9.2,"Озеро ""Чкаловское"" (Земли ЧП «Чернышевский» Озеро примыкает к кв 70 Морозовского лесничества)",памятник природы,водный,
58:04-9.3,"Дендрарий им. Г.Ф. Морозова (Морозовское лесничество кв. 2,7)",памятник природы,дендрологический,
58:04-9.1,"""Урочище 12 дубков"" Белинско-Аргамаковское лесничество кв. 58",памятник природы,ботанический,
58:03-6.75,"Хопёрский бор (Бековское (бывшее) лесничество Квартала 41,56)",памятник природы,ботанический,Бековский
58:03-6.33,"Родник ""Царский""",памятник природы,водный,
58:07-6.102,"Никоновский бор (Краснооктябрьское лесничество кв.37,38,70,98,115,124,133-141,150,155)",памятник природы,ботанический,Городищенский
58:07-6.98,Кардавский лес (Кардавское лесничество кв.49 в.14.15),памятник природы,ботанический,
58:07-6.97,"Овраг ""Смерти"" (Куракинское лесничество кв.64 в.24)",памятник природы,палеонтологический,
58:07-9.1,"Озеро ""Царьково""",памятник природы,водный,
58:07-9.2,"Озеро ""Боровое""",памятник природы,водный,
58:07-9.3,Озеро Большое Моховое,памятник природы,водный,
"58:34-6.38,
58:34-6.65",Зареченский лес,памятник природы,ботанический,г. Заречный
58:08-9.1,Оболенский сад (Салтыковское участковое лесничество квартал 19),памятник природы,ботанический,Земетчинский
58:09-6.105,Иссинская дубрава (Иссинское  кв 9),памятник природы,ботанический,Иссинский
58:00-6.336,Урочище Три горы (Двориковское участковое лесничество Кв.70-72),памятник природы,ботанический,Кузнецкий
58:14-9.1,"Двориковский водно-лесной комплекс им. И.А. Коровина (кв. 31, 40, 41, 25)",памятник природы,ботанический,
58:14-6.161,Никольское Болото,памятник природы,водный,
58:12-9.1,Белокаменский парк (Колышлейское (бывшее) лесничество квартал 2),памятник природы,ботанический,Колышлейский
58:12-9.2,Кайсаровский солонец,памятник природы,ботанический,
58:12-6.133,"Урочище ""Подгорное"" (Колышлейское (бывшее) лесничество квартал 39)",памятник природы,ботанический,
58:16-6.180,"Большевъясский лес (Большевъясское лесничество, кв.71,81,82,87-89)",памятник природы,ботанический,Лунинский
58:16-6.181,"Ломовские Моховые болота (Ломовское  
кв. 36,39,40,46,51)",памятник природы,ботанический,
58:16-6.132,"Озёрный экокомплекс ""Луговой""",памятник природы,водный,
58:16-6.63,"Урочище""Чердак"" (Большевъясское лесничество, кв. 49 выд.13,14)",памятник природы,ботанический,
58:16-6.131,Солонцовая степь,памятник природы,ботанический,
58:16-6.179,Иванырсинский ландшафтный комплекс,памятник природы,ботанический,
58:16-6.178,"Озеро ""Чапчор"" (Ломовское кв.21,выд 32, кв22. выд.25)",памятник природы,водный,
58:00-9.1,Участок русла реки Суры,памятник природы,водный,
58:16-9.1,Озеро Сандерка,памятник природы,водный,
58:16-6.175,"Озера лесные (Вазерское кв.11,12,27,28)",памятник природы,водный,
"58:18-6.327,
58:18-6.170",Рамзайский резерват головчатки  Литвинова,памятник природы,ботанический,Мокшанский
58:18-6.248,Рамзайская дубрава,памятник природы,ботанический,
58:18-6.34,Степь большой ендовы,памятник природы,ботанический,
58:18-6.231,Белогорская степь,памятник природы,ботанический,
58:17-6.81,"Даниловская солонцовая поляна (Даниловское лес-во квартал 14,выд.9)",памятник природы,ботанический,Мало-Сердобинский
58:17-6.49,Комаровский резерват головчатки Литвинова,памятник природы,ботанический,
58:22-6.173,"Урочище ""Лысая гора"" (Ильминское кв.46 выд.21,25,26)",памятник природы,ботанический,Никольский
58:22-6.162,"""Субботинские склоны"" (Междуреченское л-во Кв. 35  выд.13,17 (крутой склон ю-з экспозиции протяженностью около 1 км))
",памятник природы,ботанический,
58:22-6.164,"Лесной массив ""Пестровский"" (Пестровское Лесничество Кв. 59
Выд. 14,15,16,19)",памятник природы,ботанический,
58:22-6.166,"Инзенский массив (Кенчурское 
кв.1,5-7,103,104, 127,128,159)",памятник природы,ботанический,
58:22-6.168,"""Никитинские горы""(Ильминское 
кв.94,98,99,103,106)",памятник природы,ботанический,
58:22-6.169,"Озеро ""Шевокал"" (Большевъясское лесничество, кв. 48)",памятник природы,водный,Никольский
58:22-9.2,"Пестровское торфяное болото (Пёстровское лесничество
Кв. 98 выд. 18,кв. 99  выд. 14)",памятник природы,водный,
58:22-6.167,Ильминское клюквенное болото (Ильминское кв.42 выд.3.),памятник природы,водный,
